LABID,YEAR,SEROTYPE,MLST,PBP1a,PBP2b,PBP2x,PEN,AMO,MER,TAX,CFT,CFX
20152706,2015,3,180,2,3,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152707,2015,16F,1840,1,10,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152708,2015,3,180,2,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152709,2015,3,180,0,10,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152710,2015,10A,816,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152711,2015,20,1257,1,4,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152712,2015,35B,558,4,7,7,MIC = 2,MIC = 4,MIC = 1,MIC = 1,MIC = 1,MIC > 2
20152713,2015,8,1480,3,5,5,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152714,2015,3,180,2,3,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152715,2015,20,1257,1,4,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152716,2015,23B,1448,12,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC = 1
20152718,2015,12F,220,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152719,2015,12F,220,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152720,2015,12F,220,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152721,2015,12F,220,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152723,2015,23A,338,0,1,1,MIC = 0.25,MIC = 0.06,MIC <= 0.06,MIC = 0.12,MIC <= 0.5,MIC <= 0.5
20152724,2015,12F,220,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152725,2015,15A,3058,0,4,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152726,2015,33F,100,2,0,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152727,2015,19A,320,13,11,26,MIC = 4,MIC > 8,MIC = 1,MIC = 4,MIC = 4,MIC > 2
20152803,2015,12F,220,0,0,17,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152804,2015,6C,8446,0,0,124,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152805,2015,35B,558,4,7,7,MIC = 2,MIC = 4,MIC = 1,MIC = 1,MIC = 1,MIC > 2
20152806,2015,23A,42,2,0,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152807,2015,7C,1797,2,4,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152808,2015,16F,414,0,6,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152809,2015,3,180,2,3,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152810,2015,19A,667,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152811,2015,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152812,2015,10A,816,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152813,2015,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152814,2015,16F,659,9,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152815,2015,11A,62,2,6,10,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152816,2015,9N,66,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152817,2015,12F,220,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152818,2015,19F,654,2,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152820,2015,16F,659,9,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152821,2015,16F,659,9,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152822,2015,11A,62,2,6,10,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152823,2015,12F,220,0,0,17,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152824,2015,3,180,2,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152825,2015,12F,220,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152826,2015,33A,1012,2,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152828,2015,7C,10460,2,4,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152829,2015,23A,338,0,1,1,MIC = 0.25,MIC = 0.06,MIC <= 0.06,MIC = 0.12,MIC <= 0.5,MIC <= 0.5
20152830,2015,23B,439,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152831,2015,15A,63,24,27,11,MIC = 0.25,MIC = 0.25,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152832,2015,22F,433,1,2,27,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152877,2015,35B,156,4,12,7,MIC = 2,MIC = 4,MIC = 0.5,MIC = 1,MIC = 1,MIC > 2
20152878,2015,3,180,2,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152879,2015,3,180,2,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152880,2015,15B,3280,7,8,9,MIC = 0.25,MIC = 0.5,MIC = 0.12,MIC = 0.12,MIC <= 0.5,MIC <= 0.5
20152881,2015,23B,1373,0,1,1,MIC = 0.25,MIC = 0.06,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152882,2015,7C,4510,12,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152884,2015,35B,9910,4,12,7,MIC = 2,MIC = 2,MIC = 1,MIC = 1,MIC = 1,MIC > 2
20152885,2015,3,180,2,0,128,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152886,2015,11A,62,2,6,10,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152887,2015,22F,7314,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152888,2015,19A,320,13,11,127,MIC = 2,MIC = 2,MIC = 0.5,MIC = 0.25,MIC <= 0.5,MIC = 2
20152889,2015,19A,320,13,11,16,MIC = 4,MIC = 8,MIC = 1,MIC = 1,MIC = 2,MIC > 2
20152890,2015,7F,191,2,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152891,2015,11A,62,2,6,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152892,2015,16F,1840,0,10,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152893,2015,23A,338,0,1,1,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152894,2015,7C,1797,2,4,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152895,2015,10A,816,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152896,2015,35B,558,4,7,7,MIC = 2,MIC = 2,MIC = 0.5,MIC = 0.5,MIC = 1,MIC > 2
20152897,2015,6C,10461,19,31,8,MIC = 1,MIC = 1,MIC = 0.25,MIC = 0.5,MIC <= 0.5,MIC = 2
20152898,2015,19F,654,2,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152899,2015,23B,1847,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152900,2015,16F,10464,19,31,8,MIC = 1,MIC = 1,MIC = 0.25,MIC = 0.5,MIC <= 0.5,MIC = 2
20152901,2015,33F,100,2,0,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152902,2015,12F,220,0,0,17,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152903,2015,22F,433,1,2,59,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152904,2015,23A,8080,0,1,1,MIC = 0.25,MIC = 0.12,MIC <= 0.06,MIC = 0.12,MIC <= 0.5,MIC <= 0.5
20152905,2015,17F,10465,1,4,129,MIC = 0.12,MIC <= 0.03,MIC <= 0.06,MIC = 0.12,MIC <= 0.5,MIC <= 0.5
20152906,2015,9N,632,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152907,2015,3,180,2,0,111,MIC = 0.06,MIC = 0.06,MIC <= 0.06,MIC = 0.25,MIC <= 0.5,MIC = 1
20152908,2015,20,1257,1,4,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152910,2015,23F,81,15,12,18,MIC = 2,MIC = 2,MIC = 0.5,MIC = 2,MIC = 2,MIC > 2
20152911,2015,23B,1373,0,1,1,MIC = 0.25,MIC = 0.06,MIC <= 0.06,MIC = 0.12,MIC <= 0.5,MIC <= 0.5
20152912,2015,22F,7314,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152913,2015,12F,"10,20,n,1,6,1,29",0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152917,2015,33F,100,2,0,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152918,2015,3,180,2,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152919,2015,10A,816,0,0,132,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152920,2015,23B,1373,0,1,1,MIC = 0.25,MIC = 0.06,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152921,2015,11A,62,2,6,10,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152922,2015,33F,100,2,0,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152923,2015,38,393,2,4,4,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152948,2015,9N,405,23,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152949,2015,9N,632,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152950,2015,9N,405,23,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152951,2015,23A,42,2,0,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152952,2015,16F,3157,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152953,2015,35B,558,4,7,7,MIC = 2,MIC = 4,MIC = 1,MIC = 1,MIC = 1,MIC > 2
20152954,2015,35B,558,4,7,7,MIC = 2,MIC = 4,MIC = 0.5,MIC = 1,MIC = 1,MIC > 2
20152955,2015,20,1257,2,4,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152956,2015,7C,1797,2,4,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152957,2015,15A,63,24,27,28,MIC = 0.25,MIC = 0.06,MIC <= 0.06,MIC = 0.12,MIC <= 0.5,MIC <= 0.5
20152958,2015,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152959,2015,23A,338,0,1,1,MIC = 0.12,MIC = 0.06,MIC <= 0.06,MIC = 0.12,MIC <= 0.5,MIC <= 0.5
20152960,2015,35B,558,4,7,7,MIC = 2,MIC = 2,MIC = 0.5,MIC = 1,MIC = 1,MIC > 2
20152961,2015,33F,100,2,0,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152962,2015,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152963,2015,6C,1390,2,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152964,2015,10A,816,0,0,2,MIC <= 0.03,MIC = 0.06,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152965,2015,19A,695,8,0,11,MIC = 0.12,MIC = 0.12,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152966,2015,6C,138,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152968,2015,19A,695,8,0,11,MIC = 0.12,MIC = 0.12,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152969,2015,7C,7260,2,4,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152998,2015,11A,62,2,6,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20152999,2015,15A,3811,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153000,2015,9N,632,69,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153001,2015,12F,218,0,0,11,MIC = 0.06,MIC = 0.06,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153002,2015,9N,66,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153003,2015,23A,338,0,1,1,MIC = 0.25,MIC = 0.06,MIC <= 0.06,MIC = 0.12,MIC <= 0.5,MIC <= 0.5
20153004,2015,35B,558,4,7,7,MIC = 2,MIC = 4,MIC = 1,MIC = 1,MIC = 1,MIC > 2
20153005,2015,15C,199,2,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153006,2015,9N,632,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153007,2015,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153008,2015,8,53,3,6,5,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153009,2015,6C,490,1,4,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153010,2015,21,432,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153011,2015,11A,62,2,6,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153012,2015,3,180,2,3,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153013,2015,6C,490,1,4,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153014,2015,23B,439,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153015,2015,23A,338,0,1,1,MIC = 0.25,MIC = 0.12,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153016,2015,23A,42,2,0,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153017,2015,23B,439,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153018,2015,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153019,2015,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153020,2015,19F,2890,13,16,47,MIC = 4,MIC = 2,MIC = 0.5,MIC = 2,MIC = 1,MIC > 2
20153022,2015,10A,816,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153023,2015,33F,2705,2,0,6,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153024,2015,9N,1257,1,4,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153025,2015,3,180,2,3,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153026,2015,12F,220,0,0,17,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
20153027,2015,23A,338,19,1,24,MIC = 0.5,MIC = 0.25,MIC <= 0.06,MIC = 0.25,MIC <= 0.5,MIC <= 0.5
20153028,2015,16F,995,9,4,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC <= 0.5,MIC <= 0.5
